Record_ID,Source_Channel,User_Intent,Primary_Friction_Category,Confidence_Score,Detected_Off_Platform_Action,Verbatim_Quote
cls_5c28e412dbbf,App Store,Passive-Moodboard,Catalog Clutter,0.79,Competitor App Search (Amazon/Zara),"In my myntra app , doesn't show spin option to get myntra cash.Please solve this problem!"
cls_d429c6103561,App Store,Passive-Moodboard,Styling Isolation,0.76,Google / Pinterest Outfit Inspo Search,All categories available please Make affordable price
cls_b96ec0189d91,App Store,Passive-Moodboard,Styling Isolation,0.78,Google / Pinterest Outfit Inspo Search,clothes are good but it takes much more time to verify return request
cls_62b8d9d08ab3,App Store,Passive-Moodboard,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),Didn't get my myntra credit/earnings for my last approved video on ultimate glam clan program.
cls_39207dbc908e,App Store,High-Intent,Styling Isolation,0.78,Google / Pinterest Outfit Inspo Search,i really like to Shop from here but I don't understand what is their issue ?
cls_94b3320f1c4d,App Store,High-Intent,Catalog Clutter,0.92,Competitor App Search (Amazon/Zara),unable to apply filters
cls_621b064bf4cc,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,Myntra has a very nice service
cls_01f417a4a852,App Store,High-Intent,Styling Isolation,0.88,Google / Pinterest Outfit Inspo Search,"the product looks good but the quality is not good, fabric is too stretchable"
cls_e6b3ae2b651a,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,service has improved
cls_5caba108de59,App Store,Passive-Moodboard,Styling Isolation,0.8,Google / Pinterest Outfit Inspo Search,evrything is ok...but ye system glt h platform fee itna jyada lete h ki agr br br return kro koi chiz psnd na aane pr to apka adha paisa to ussi mei nikal jayega
cls_754bfc3548ff,App Store,Passive-Moodboard,Fit Body Ambiguity,0.79,Third-Party Brand Size Chart Lookup,most of the outfits fit perfectly.
cls_4319e04167da,App Store,High-Intent,Styling Isolation,0.86,Google / Pinterest Outfit Inspo Search,I have ordered a few times and the products are good but they don't actually look the same as in the app shows .
cls_3c299a8405c2,App Store,High-Intent,Occasion Disconnect,0.75,Postponed / Calendar Event Check,Worst experience ever.
cls_8562c2792370,App Store,High-Intent,Styling Isolation,0.77,Google / Pinterest Outfit Inspo Search,"guys be careful, I've ordered Titan wrist watch for my wife."
cls_6ef7e8febc47,App Store,Passive-Moodboard,Styling Isolation,0.76,Google / Pinterest Outfit Inspo Search,earlier user interface was better than this newer one.
cls_731b503d8e24,App Store,High-Intent,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,Absolutely third-class delivery service!
cls_8760e20bd7eb,App Store,Passive-Moodboard,Styling Isolation,0.76,Google / Pinterest Outfit Inspo Search,for new user not any other better option available
cls_738cca82299b,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,late delivery.........
cls_3d13f60f2022,App Store,Passive-Moodboard,Catalog Clutter,0.75,Competitor App Search (Amazon/Zara),price was too high comparison to other apps
cls_9d5a2ffe0054,App Store,High-Intent,Styling Isolation,0.8,Google / Pinterest Outfit Inspo Search,"products are good, but Myntracash is a type of fraud if you order anything whose more than half payments is done by Myntracash, then they don't deliver the product and cancel it by their side on late night of date of delivery, for exchange and return they take much more time."
cls_064dcbf0b470,App Store,Passive-Moodboard,Styling Isolation,0.76,Google / Pinterest Outfit Inspo Search,shoping was extremely good and smooth and easy also 🙌
cls_34578d1308a4,App Store,Passive-Moodboard,Catalog Clutter,0.74,Competitor App Search (Amazon/Zara),"Good App, easy interface."
cls_925d11aaddaf,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,Good service 👍👍
cls_b2001d51253f,App Store,Passive-Moodboard,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),good app but they unfortunately stopped giving myncash after every purchase which was a good deal for me as a customer
cls_45efe3389ebf,App Store,Passive-Moodboard,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,Good Quality Good service thank you Myntra
cls_3a992435af3c,App Store,Passive-Moodboard,Catalog Clutter,0.74,Competitor App Search (Amazon/Zara),perfect app for shopping
cls_e764572c9aaf,App Store,Passive-Moodboard,Catalog Clutter,0.74,Competitor App Search (Amazon/Zara),best app I ever seen
cls_51976b626866,App Store,Passive-Moodboard,Catalog Clutter,0.77,Competitor App Search (Amazon/Zara),love the app because it's so easy to navigate and shop on.
cls_2b5019acb992,App Store,Passive-Moodboard,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),good experience 😃 myntra is good quality provided i am very happy myntra app but sometime delivery delayed sometime and easily exchange and return and refund so esliye no problem quality is good all products 👍my experience saying myntra is best app so i am telling anyone use myntra 🙏
cls_80679bd9d963,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,good one platform
cls_d6138e84d47c,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,good good not bad
cls_29b55477142b,App Store,Passive-Moodboard,Catalog Clutter,0.8,Competitor App Search (Amazon/Zara),"The return process gets a little hectic at times, otherwise it's a nice app for quality shopping experience."
cls_553a1665c27b,App Store,Passive-Moodboard,Catalog Clutter,0.74,Competitor App Search (Amazon/Zara),good app for shopping
cls_fd3bc72229b6,App Store,Passive-Moodboard,Styling Isolation,0.75,Google / Pinterest Outfit Inspo Search,never get a wrong product from this !!
cls_bed87b69d0a5,App Store,Passive-Moodboard,Styling Isolation,0.74,Google / Pinterest Outfit Inspo Search,bahut achha platform hai
cls_4668187f2240,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,experience good
cls_174e429fb73e,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,it's a good product
cls_36a3d7641eb6,App Store,Passive-Moodboard,Catalog Clutter,0.77,Competitor App Search (Amazon/Zara),very good experience 👍🏻 thanks Myntra perfect shopping app
cls_0a89e2a68edb,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,super qulity iteam.
cls_025bc4c536ca,App Store,Passive-Moodboard,Styling Isolation,0.73,Google / Pinterest Outfit Inspo Search,overall good 👍 👌
cls_64a694fa02d5,App Store,Passive-Moodboard,Styling Isolation,0.78,Google / Pinterest Outfit Inspo Search,All good but I'll give 4 star coz I don't like to pay the platform fee
cls_640f7625300f,App Store,Passive-Moodboard,Catalog Clutter,0.77,Competitor App Search (Amazon/Zara),this is too good app and this helpful and to trusted app
cls_90fd9ea39c5c,App Store,Passive-Moodboard,Catalog Clutter,0.74,Competitor App Search (Amazon/Zara),very good shopping app
cls_52ea1ad95a7c,App Store,Passive-Moodboard,Catalog Clutter,0.75,Competitor App Search (Amazon/Zara),one of the best online store apps
